review;;
Sayeta_,2020-08-29 08:57:06,b'@WhisnuSakti Smoga bisa membangkitkan roda ekonomi masyarakat surabaya #KalauBeginiKeren #WongSuroboyo',,,,,,,,,,;;
anisawizz,2020-08-29 09:16:36,b'RT @WhisnuSakti: Masa pembatasan sosial berskala besar (PSBB) jilid III menjadi transisi untuk melatih dalam mempersiapkan New Normal. Term\xe2\x80\xa6',,,,,,,,,,;;
BayuuBaskara,2020-08-29 09:41:30,b'@fairuzzmm Ekonomi malang surabaya',,,,,,,,,,;;
"SKHmemorandum,2020-08-29 13:36:54,""b'Dongkrak Ekonomi Warga, Pemkot Surabaya Gelar Bazar\xc2\xa0Online https://t.co/KTblPpxeXb'"",,,,,,,,,,";;
"Kaca67890,2020-08-30 09:17:51,""b'Surabaya ZONA HITAM DARI BEBERAPA BULAN YG LALU ,ORGNYA AMAN\xc2\xb2 SJ,MALAH DI BEBERAPA TEMPAT DI JATIM MASIH ZONA MERAH\xe2\x80\xa6 https://t.co/Oj13KiH3CC'"",,,,,,,,,,";;
INDRAARDIAWAN2,2020-08-30 12:57:44,b'RT @INDRAARDIAWAN2: PERTAMA DIDUNIA\nPERCEPATAN\nTERPILIHNYA SURABAYA SEBAGAI KOTA PERCONTOHAN\nSEBAGAI KOTA ANGKA\nKOTA TAMAN \nKOTA PUTRI SALJ\xe2\x80\xa6',,,,,,,,,,;;
nightlightsub_,2020-08-31 00:27:09,b'-anomali ekonomi sosial di Surabaya berbeda dengan kota-kota lain kebanyakan.\n\nKalau di kota lain (katakanlah Jakar\xe2\x80\xa6 https://t.co/QHPxBEv6Em',,,,,,,,,,;;
"nightlightsub_,2020-08-31 00:27:12,""b'-ekonomi Surabaya. Semua tetep tergantung dari harga bahan bakunya, bukan sekedar ikut-ikutan gaji naik harga makan\xe2\x80\xa6 https://t.co/Kkbg63wwbq'"",,,,,,,,,,";;
"fpksdprdsby,2020-08-31 05:40:19,""b'Komisi C Nilai, Pemkot Surabaya Setengah Hati Lakukan Pemulihan Ekonomi https://t.co/oUzR8A0AFp'"",,,,,,,,,,";;
"SURYA_co_id,2020-08-31 11:34:33,""b'Puncak Hari Jadi ke-826 Trenggalek, Momentum Penyembuhan Ekonomi Akibat Pandemi Covid-19: Puncak Hari Jadi Ke-826 T\xe2\x80\xa6 https://t.co/FAYtW8DaKh'"",,,,,,,,,,";;
"JatimPemprov,2020-08-31 12:39:09,""b'""""Di tengah upaya pemulihan ekonomi akibat pandemi Covid-19 ini, pemerintah berharap masyarakat dapat terbantu sebag\xe2\x80\xa6 https://t.co/vQ3saLk5nK'"",,,,,,,,,,";;
"moonlittera,2020-09-01 00:53:28,""b'Indonesia tidak semata bisa terdefinisikan lewat carut-marut politik dan gejolak ekonomi di kota-kota besar, sepert\xe2\x80\xa6 https://t.co/zjv0m1Xscr'"",,,,,,,,,,";;
"GoToJATIASIH,2020-09-01 14:03:13,""b'Soal Ancaman Resesi Ekonomi, Risma Yakin Surabaya Bertahan https://t.co/IWLcKeWDQ1'"",,,,,,,,,,";;
"BisniscomJatim,2020-09-01 23:44:40,""b'Tak Mau Ekonomi surabaya Terpuruk, Ini yang Dilakukan Risma | https://t.co/mN0crfgQP4 https://t.co/UOh9mBfh6V'"",,,,,,,,,,";;
"InformasiBWI,2020-09-02 01:23:32,""b'Sumber Daya Alam Menipis, Andalkan Budaya untuk Pengembangan Ekonomi, Paparan Guru Besar FIB UNJ\xe2\x80\xa6 https://t.co/9X36wu02QP'"",,,,,,,,,,";;
SKHmemorandum,2020-09-02 02:38:11,b'Risma: Ekonomi Surabaya Aman dari\xc2\xa0Resesi https://t.co/28bGoLhIIf',,,,,,,,,,;;
ini_surabaya,2020-09-02 03:29:50,b'Menkopolhukam Mahfud MD menilai\xc2\xa0resesi ekonomi\xc2\xa0bagi Indonesia sulit dihindari. Namun\xc2\xa0Wali Kota Tri Rismaharini\xc2\xa0meny\xe2\x80\xa6 https://t.co/0UJ8rr3IgB',,,,,,,,,,;;
"kompascom,2020-09-02 04:26:20,""b'""""Pertumbuhan ekonomi kita di atas pertumbuhan nasional. Kenapa begitu? Karena 92 persen usaha di Surabaya itu ekono\xe2\x80\xa6 https://t.co/oqUfhXq6eX'"",,,,,,,,,,";;
republikaonline,2020-09-02 05:04:57,b'Risma mengakui keputusannya tidak melanjutkan PSBB demi perekonomian Surabaya. https://t.co/szVtSvAumV',,,,,,,,,,;;
AndalanNegri,2020-09-02 09:22:41,b'Salah satu program yang diklaim sebagai keberhasilan Eri adalah program Surabaya Smart City (SSC) dengan membuat ra\xe2\x80\xa6 https://t.co/xXGpUzm79O',,,,,,,,,,;;
ayosurabayacom,2020-09-02 15:37:10,b'Warga Surabaya tak perlu panik dalam menanggapi isu resesi yang disebut bisa seperti krisis pada 1998 dan 2008 lalu\xe2\x80\xa6 https://t.co/V72TIIENm0',,,,,,,,,,;;
BisniscomJatim,2020-09-03 04:35:31,b'Proyeksi HIPMI Terhadap Pertumbuhan Ekonomi Surabaya | https://t.co/mN0crfgQP4 https://t.co/WpSps7bhYo',,,,,,,,,,;;
"ecosocrights,2020-09-03 07:18:19,""b'Tanpa pandemi saja, ekonomi NKRI dibangun dgn tumbal, apalagi di masa pandemi. Butuh tumbal lebih banyak https://t.co/1OyumNE1O7'"",,,,,,,,,,";;
"jawapos,2020-09-03 08:24:41,""b'Siapkan Langkah Ekonomi, Risma Minta Warga Surabaya Tak Takut Resesi https://t.co/P951MOtsGw'"",,,,,,,,,,";;
RZ_Surabaya,2020-09-03 09:41:37,b'MASIH ADA RIBUAN ANAK YANG KESULITAN BELAJAR DARING\n\nBanyak orangtua mengaku biaya untuk membeli kuota internet sun\xe2\x80\xa6 https://t.co/f8anDRryO1',,,,,,,,,,;;
"INDRAARDIAWAN2,2020-09-03 19:53:46,""b'@sirojulmunir_m Lokasi strategis Surabaya menghubungkan timur dan barat. Oleh karena itu, Surabaya bukan hanya\xc2\xa0kota\xe2\x80\xa6 https://t.co/xr5PQFnDeJ'"",,,,,,,,,,";;
"hariankompas,2020-09-04 02:20:42,""b'Sejak menyerang pada pertengahan Maret 2020, wabah Covid-19 belum mereda apalagi terkendali di Jawa Timur. Daerah r\xe2\x80\xa6 https://t.co/VCe2ZEMmgp'"",,,,,,,,,,";;
babegalak1,2020-09-04 07:43:19,b'@PantunJ2P Teman teman saat ini ekonomi mulai mengeliat... ayo semangat memulai usaha...bagi kalian pengusaha kecil\xe2\x80\xa6 https://t.co/WDkhR4tBgp',,,,,,,,,,;;
"INDRAARDIAWAN2,2020-09-05 14:32:33,""b'RT @INDRAARDIAWAN2: SMART INFO\n\nmenjadikan Surabaya sebagai sentra kreatif dan teknologi di tingkat global, KORIDOR merupakan langkah awal\xe2\x80\xa6'"",,,,,,,,,,";;
SurabayaHolic,2020-09-05 22:36:32,b'Emil Dardak Berharap Mahasiswa PENS Mampu Jawab Tantangan Ekonomi Pasca Pandemi Covid-19 https://t.co/UpkcE62DTb',,,,,,,,,,;;
"ptxnud,2020-09-06 06:37:34,""b'@judginganalyst padahal secara perputaran ekonomi surabaya mayan. bener sih, nyokap gw orang surabaya gak suka IKEA\xe2\x80\xa6 https://t.co/8jHFqsiTHo'"",,,,,,,,,,";;
Sayeta_,2020-08-29 08:57:06,b'@WhisnuSakti Smoga bisa membangkitkan roda ekonomi masyarakat surabaya #KalauBeginiKeren #WongSuroboyo',,,,,,,,,,;;
DMegasinta,2020-09-10 04:48:12,b'Jakarta PSBB lagi malu dong ama Surabaya Bu Risma ogah ekonomi ancur wlo Zona merah skalipun Bu Risma bikin prestas\xe2\x80\xa6 https://t.co/bX0RTcmM59',,,,,,,,,,;;
"jawapos,2020-09-10 11:38:56,""b'Antisipasi Sektor Ekonomi Anjlok, Risma Gandeng UMKM https://t.co/9UBSUcwZlN'"",,,,,,,,,,";;
LSININDEPENDEN,2020-09-10 15:00:42,b'Risma : Protokol Kesehatan Wajib Dijalankan Agar Ekonomi Surabaya Tidak Turun https://t.co/5RD8x4SclZ',,,,,,,,,,;;
"gen1031fmsby,2020-09-11 05:30:00,""b'#InfoGenWaniPooll Wali Kota Surabaya Tri Rismaharini mengatakan, pihaknya terus menyiapkan strategi, supaya kondisi\xe2\x80\xa6 https://t.co/m8IxjpLk29'"",,,,,,,,,,";;
Ciel_duke,2020-09-05 15:19:03,b'....duit pajak orang2 surabaya dipake buat beginian..... https://t.co/8aA8Yr3RDQ',,,,,,,,,,;;
"BisniscomJatim,2020-09-09 07:48:28,""b'Jatim Optimistis Himpun Pajak Daerah Rp12,37 Triliun  https://t.co/S2cjYthuRJ'"",,,,,,,,,,";;
"sanjunisme_,2020-09-12 08:27:03,""b'RT @representatif: Sebagai penghuni kampung di kota Surabaya, emang bener sih. Bakal efektif kalau perputaran kehidupan (ekonomi, kesehatan\xe2\x80\xa6'"",,,,,,,,,,";;
Theraid26619689,2020-09-10 17:41:27,b'@buat_iseng_aja @hosa15 @Dennysiregar7 @aniesbaswedan Ya lihatlah surabaya..\nDan DKI juga ikut kebijakan pemerintah\xe2\x80\xa6 https://t.co/gv0QdSpVOd',,,,,,,,,,;;
Dedifaisal20,2020-09-12 16:08:03,b'@FirzaHusain Yh cuman 2 hal mentimgin ekonomi apa kesehatan bahkan Surabaya ajh masih psbb. Biar lah pemerintah yg\xe2\x80\xa6 https://t.co/YDAEySAAiz',,,,,,,,,,;;
"KaltimBerita,2020-09-09 22:05:04,""b'https://t.co/g5m9FsropA  Dukung Pertumbuhan Kawasan Industri di Jatim, PLN Siapkan Trafo GITET 3 Krian, Sidoarjo: K\xe2\x80\xa6 https://t.co/Q3LvM1lYA8'"",,,,,,,,,,";;
baristandsby,2020-09-10 04:39:32,b'Pemanfaatan teknologi IoT dapat dirasakan oleh perorangan maupun skala industri. Untuk menjamin berlangsungnya peng\xe2\x80\xa6 https://t.co/2nbty2vJpm',,,,,,,,,,;;
"timechi,2020-09-10 05:20:22,""b'masio nanti misal Surabaya, Darjo, Gresik PSBB lagi yo ga ngefek lha industri strategis ttp dikasi izin jalan, ga dapet jatah libur\xf0\x9f\x98\x82'"",,,,,,,,,,";;
hozhy2,2020-09-11 13:22:43,b'@jokowi malam pak ni keadannya yg sebenar nya ga usah di psbb pun \nKeadaan nya surabaya  ekonomi menurun .retail .i\xe2\x80\xa6 https://t.co/xicer8bcyk',,,,,,,,,,;;
"INDRAARDIAWAN2,2020-09-10 04:32:58,""b'RT @INDRAARDIAWAN2: PERCEPATAN SURABAYA PUSAT PERCONTOHAN DUNIA\n\nKecanggihan Alugoro, Kapal Selam Pertama Indonesia yang Bikin Takjub ASEAN\xe2\x80\xa6'"",,,,,,,,,,";;
"baristandsby,2020-08-31 01:33:36,""b'Merdeka Bangsaku Merdeka Negeriku !!!!!\n\nHai BisbyZen, di tengah kondisi pandemi covid 19 seperti saat ini Baristan\xe2\x80\xa6 https://t.co/jgCgc2maT0'"",,,,,,,,,,";;
"1722820503,2020-08-31 14:29:35,""b'@nightlightsub_ Soal kerja, tergantung orientasimu. Kalau kerja di bidang jasa tentu UMK Surabaya lebih menjamin. T\xe2\x80\xa6 https://t.co/OHHvCDv8Va'"",,,,,,,,,,";;
kompascom,2020-09-02 03:30:33,b'Wali Kota Surabaya Tri Rismaharini memiliki strategi agar Kota Surabaya terhindar dari resesi atau kelesuan kegiata\xe2\x80\xa6 https://t.co/wc5GGQbgmG',,,,,,,,,,;;
"_RahadianSurya,2020-09-02 08:47:31,""b'Zona komersil, pergudangan sampai industri numplek blek di satu jalan provinsi yg juga menjadi salah satu akses men\xe2\x80\xa6 https://t.co/sYeg6kjvoP'"",,,,,,,,,,";;
SurabayaHolic,2020-09-09 22:42:04,b'Realisasi Harga Gas USD 6 Per MMBTU sesuai Kepmen ESDM 89/2020 Berdampak Positif bagi Industri https://t.co/CXA34PTRJ1',,,,,,,,,,;;
"NoviaMentari5,2020-09-11 05:58:05,""b'Namun, permasalahannya adalah kota-kota di sekitar Surabaya sebagian besar adalah industri.'"",,,,,,,,,,";;
"retno_setyowat,2020-09-04 01:50:28,""b'@MandalaPatar iya,tp sidungu itu bilang dimarahi bu risma yg artinya dia framing itu kebijakan bu risma di surabaya'"",,,,,,,,,,";;
"gen1031fmsby,2020-09-04 02:30:00,""b'#InfoGenWaniPooll Raperda terkait pengelolaan Barang Milik Daerah (BMD) Kota Surabaya, kmrn disahkan jd Perda penge\xe2\x80\xa6 https://t.co/hcfiPINVc1'"",,,,,,,,,,";;
trainveller,2020-09-04 06:12:08,b'@atre7 banyak hal yang terjadi yang membuat warga di Surabaya pun banyak yang mempertanyakan kebijakan beliau dan j\xe2\x80\xa6 https://t.co/i6Ty71xtHt',,,,,,,,,,;;
"WalhiJatim,2020-09-08 08:17:18,""b'Survey ini punya tujuan melihat aspek perilaku, persepsi dan pengetahuan umum masyarakat Surabaya terhadap pengelol\xe2\x80\xa6 https://t.co/K9DYVd9LXW'"",,,,,,,,,,";;
karyawantree,2020-09-12 03:57:10,b'@INDRAARDIAWAN2 Nah itu..\n\nKetergantungan..Klo saja \n\nBeranikan diri untuk Meevaluasi kebijakan yang menjurus araha\xe2\x80\xa6 https://t.co/ULfasLMX9i',,,,,,,,,,;;
RadioElshinta,2020-08-30 14:40:21,b'Bu Risma kali ini menyisir daerah Surabaya Utara dan Surabaya Barat.\nMemulai perjalanan sekitar pkl 07.00 dr rumah\xe2\x80\xa6 https://t.co/ZgzD0XcBsB',,,,,,,,,,;;
akuluthfi,2020-09-05 15:26:19,b'RT @Ciel_duke: ....duit pajak orang2 surabaya dipake buat beginian.....',,,,,,,,,,;;
"jawapos,2020-09-10 11:47:40,""b'Jadi Tempat Isolasi, Hotel di Surabaya Dapat Relaksasi Pajak https://t.co/ev6HjAAumM'"",,,,,,,,,,";;
"infoSURABAYArek,2020-09-09 10:19:03,""b'Yuk Nongkrong di Kotakami Surabaya, Incipi Sajian Kuliner UMKM di Tempat yang Cozy dan Instagramable https://t.co/3gJNSeXk0b'"",,,,,,,,,,";;
jpnncom,2020-09-09 16:17:02,b'Wali Kota Surabaya Tri Rismaharini mendorong para pelaku UMKM untuk tetap berinovasi di tengah pandemi virus corona\xe2\x80\xa6 https://t.co/njk87SuK7O',,,,,,,,,,;;
ayosurabayacom,2020-09-09 17:44:44,b'Wali Kota Surabaya Tri Rismaharini meminta UMKM berpikir cerdas dan kreatif di tengah pandemi Covid-19. \n#virus\xe2\x80\xa6 https://t.co/U5f9hOhMBA',,,,,,,,,,;;
"NoviaMentari5,2020-09-11 05:58:06,""b'""""Meskipun kita kondisinya bagus tidak resesi tapi kuenya (daya beli) kan berkurang. Jadi kalau itu UMKM warga Surab\xe2\x80\xa6 https://t.co/v0ZimA5e9C'"",,,,,,,,,,";;
"NoviaMentari5,2020-09-11 05:58:04,""b'Menurut dia, Surabaya basisnya adalah jasa dan perdagangan. Sementara itu, sekitar 92 dari 100 persen usaha di Sura\xe2\x80\xa6 https://t.co/AKNdimh4ND'"",,,,,,,,,,";;
iniharumindah,2020-09-01 01:55:32,b'RT @warkopwhisnu: Surabaya Raya memasuki transisi normal baru sedang mempersiapkan kebijakan dan kangkah kedepan dalam penerapannya. Bekerj\xe2\x80\xa6',,,,,,,,,,;;
PEPESOfficial,2020-09-07 05:20:29,b'PEPES Surabaya meresmikan Feeder Expres untuk kemudahan pengiriman UMKM\n\nPokoknya serba #UMKMNAIKKELAS \n\nSukses bua\xe2\x80\xa6 https://t.co/QiHQfVLG1X',,,,,,,,,,;;
INDRAARDIAWAN2,2020-09-08 03:19:54,b'UMKM INDONESIA TERBESAR DIDUNIA\nPERGERAKAN SURABAYA SEBAGAI CONTOH https://t.co/iZV96qYAow',,,,,,,,,,;;
2020-07-07 03:09:01,b'Ilmu Ekonomi: Menyusun paket kebijakan penyelamatan ekonomi selama dan pasca pandemi.\n\nAkuntansi dan Manajemen: Mem\xe2\x80\xa6 https://t.co/TmqfQ078qU',,,,,,,,,,;;
"2020-07-15 04:25:55,""b'so, Akhir thread, saya mau mengingatkan untuk semua warga #surabaya supaya semakin menjaga diri dan orang sekitar d\xe2\x80\xa6 https://t.co/x3QzPVDB31'"",,,,,,,,,,";;
2020-07-05 12:29:56,b'Akan Operasionalkan Kapal Buatan Dalam Negeri\n\nPembangunan kapal ini ikut menggiatkan industri perkapalan di Jawa T\xe2\x80\xa6 https://t.co/wofKujdL0W',,,,,,,,,,;;
2020-07-06 05:35:04,b'Pertamina uji coba transaksi non-tunai di Surabaya sebagai protokol pencegahan corona https://t.co/gMFDxonBNR #Pertamina',,,,,,,,,,;;
2020-07-06 09:32:00,b'Pertunjukkan tata rias dan busana virtual yang digagas oleh kolaborasi pekerja industri kreatif di Kota Surabaya be\xe2\x80\xa6 https://t.co/yuIlUqQ7Q8',,,,,,,,,,;;
2020-07-07 13:14:19,b'Tingkatkan Kewaspadaan Perlintasan Keimigrasian dengan Perkuat Fungsi Intelejen\n\nSURABAYA - Pemberlakukan new norma\xe2\x80\xa6 https://t.co/JobLN1Jg10',,,,,,,,,,;;
"2020-07-07 17:14:03,""b'@donopradana Selamat mas don! bondo wani juga ngangkat nama kota Surabaya,  membuktikan bahwa pelaku industri kreat\xe2\x80\xa6 https://t.co/vLjxsI4rBc'"",,,,,,,,,,";;
2020-07-09 15:30:16,b'Ini lah salah satu yang membuat industri kreatif di Indonesia atay surabaya susahhhhh sekali maju dan berkembang. M\xe2\x80\xa6 https://t.co/JKDDayQVlT',,,,,,,,,,;;
"2020-07-10 04:52:22,""b'@aurelleoxx Sebenernya di dunia industri kreatif di surabaya aku cuma apa mas, masi banyak org"""" yg lebih jago"""" lg e\xe2\x80\xa6 https://t.co/9LTnOT2DhV'"",,,,,,,,,,";;
"2020-07-13 12:11:14,""b'Webinar : Investasi Mudah di Era New Normal @ Surabaya, Indonesia https://t.co/mlG2Y6f0bo'"",,,,,,,,,,";;
"2020-07-08 02:46:17,""b'- Dalam hidup ini, ada sesuatu yang kadang hadir di luar prediksi. Salah satunya, wabah Covid-19 yang berdampak pad\xe2\x80\xa6 https://t.co/xEqKLLZstz'"",,,,,,,,,,";;
2020-07-08 10:48:12,b'Kebijakan Jam Malam Di Surabaya Disebut Langkah Frustasi https://t.co/I5FK98O3vW',,,,,,,,,,;;
"2020-07-12 02:47:59,""b'Kebijakan tak jelas, konsep dan grand design penanganan Covid-19 di Surabaya tak jelas.\nLalu yg ditampilkan dari so\xe2\x80\xa6 https://t.co/86rB6Cc54P'"",,,,,,,,,,";;
"2020-07-12 08:07:52,""b'Tidak begitu. Saya juga acap kritik Kada di Surabaya, misal soal kebijakan yg kadang terlalu Suroboyo sentris. Mest\xe2\x80\xa6 https://t.co/Z36xTIXIpy'"",,,,,,,,,,";;
"2020-07-14 15:02:02,""b'Mebuat kebijakan kok tebang pilih, kenapa mall tdk ditutup selama pandemi. Dan hanya di Surabaya mall2 pada buka se\xe2\x80\xa6 https://t.co/TgnQenjjLx'"",,,,,,,,,,";;
"2020-07-08 02:46:17,""b'- Dalam hidup ini, ada sesuatu yang kadang hadir di luar prediksi. Salah satunya, wabah Covid-19 yang berdampak pad\xe2\x80\xa6 https://t.co/xEqKLLZstz'"",,,,,,,,,,";;
"2020-07-01 06:00:38,""b'@AzzaBazla @PartaiSocmed Nggak apple to apple lah, mau mbandingin Surabaya yang ibukota provinsi dengan segala hiruk pikuk ekonomi'"",,,,,,,,,,";;
"2020-07-01 07:02:55,""b'@tvOneNews Enak x jadi presiden, dg marah bisa mendongkrak ekonomi...\n\nPantasan buk cantik marah2 terus di surabaya\xe2\x80\xa6 https://t.co/b1PAH05bVa'"",,,,,,,,,,";;
2020-06-23 10:33:03,b'Broker Yakin Pasar Properti Surabaya Pulih Semester II/2020 https://t.co/UjHm668EXM',,,,,,,,,,;;
2020-06-24 06:14:16,b'Sekarang Surabaya udah macet lagi. Which mean ekonomi udah naik lagi. Semoga semua makhluk berbahagia',,,,,,,,,,;;
2020-06-26 10:06:24,b'@warkopwhisnu kalo taman kota surabaya makin dikembangin pasti nambah ningkat ekonomi masyarakat khsuusnya para pedagang #KalauBeginiKeren',,,,,,,,,,;;
